"機関コード","機関種別","機関名","郵便番号","電話番号","機関所在地","ホームページ","経営主体"
"2810506788","特定健診・指導","ふくいクリニック","652-0897","078-685-1230","兵庫県神戸市兵庫区駅南通２－２－２９","http://www.myclinic.ne.jp/fukui_clinic/pc/","診療所　医療法人"
"2810506812","特定健診・指導","菱川医院","652-0032","078-511-3361","兵庫県神戸市兵庫区荒田町３－２－１６","","診療所　個人"
"2810506911","特定健診","もりもと内科クリニック","652-0058","078-521-1603","兵庫県神戸市兵庫区菊水町１０－９－２０","http://www.morimoto-naika.com/","診療所　個人"
"2810506986","特定健診・指導","医療法人社団坂上医院","652-0871","078-652-3673","兵庫県神戸市兵庫区浜山通２－４－１０","http://www.myclinic.ne.jp/sakanoue","診療所　医療法人"
"2810507026","特定健診・指導","蓮池内科診療所","652-0032","078-511-4667","兵庫県神戸市兵庫区荒田町１ー５ー６","http://","診療所　個人"
"2810507042","特定健診・指導","医療法人社団　河合医院","652-0046","078-575-7516","兵庫県神戸市兵庫区上沢通７－２－６","http://www.kawai-clinic.or.jp/","診療所　医療法人"
"2810507067","特定健診","社会医療法人社団正峰会　神戸大山病院","652-0802","078-578-0321","兵庫県神戸市兵庫区水木通１０ー１ー１２","http://www.seihoukai.com/yuko/index.html","病院　医療法人"
"2810507109","特定健診・指導","医療法人社団きりづか内科医院","652-0898","078-512-0310","兵庫県神戸市兵庫区駅前通１ー３ー２２","http://www.kirizuka-clinic.com/","診療所　医療法人"
"2810507117","特定健診・指導","医療法人社団　水谷クリニック","652-0803","078-575-1080","兵庫県神戸市兵庫区大開通２ー３ー２２","http://","診療所　医療法人"
"2810507166","特定健診","かなたクリニック","652-0015","078-351-5335","兵庫県神戸市兵庫区下祇園町２９ー７キャッスルハイツ平野１Ｆ　Ａ号","http://","診療所　個人"
"2810507182","特定健診","医療法人社団　まつだ内科","652-0046","078-512-3344","兵庫県神戸市兵庫区上沢通１－１－１","http://www.matsuda-naika.net","診療所　医療法人"
"2810507273","特定健診","ひだかクリニック乳腺・消化器外科","652-0804","078-531-5055","兵庫県神戸市兵庫区塚本通７－２－１７－１０１","http://","診療所　個人"
"2810507281","特定健診・指導","湊の杜病院","652-0035","078-577-6661","兵庫県神戸市兵庫区西多聞通１－１－２１","http://minatonomori-hp.jp","病院　医療法人"
"2810507299","特定健診・指導","中尾内科","652-0804","078-575-5578","兵庫県神戸市兵庫区塚本通４－２－１５","http://","診療所　個人"
"2810507414","特定健診","でぐちクリニック","652-0803","078-575-6565","兵庫県神戸市兵庫区大開通１－１－１　神鉄ビルＢ１","http://","診療所　個人"
"2810507430","特定健診・指導","ながれ内科クリニック","652-0897","078-954-5200","兵庫県神戸市兵庫区駅南通１－２－３　３Ｆ","http://","診療所　個人"
"2810507463","特定健診","寺師内科医院","652-0058","078-511-8121","兵庫県神戸市兵庫区菊水町４丁目５－１３","http://","診療所　個人"
"2810507489","特定健診・指導","湊川ファミリークリニック","652-0047","078-945-8996","兵庫県神戸市兵庫区下沢通３－１－２５　グロウメディカルビル５Ｆ","http://","診療所　個人"
"2810507554","特定健診","うみあかりクリニック","652-0807","078-954-8283","兵庫県神戸市兵庫区浜崎通３－１５　ＪＲ兵庫駅第２ＮＫビル３階","http://","診療所　個人"
"2810602272","特定健診・指導","医療法人楠和会公文病院","653-0021","078-652-3201","兵庫県神戸市長田区梅ケ香町１－１２－７","http://www.kumonhospital.jp","病院　医療法人"
"2810603593","特定健診・指導","清水医院","653-0022","078-671-0258","兵庫県神戸市長田区東尻池町２－６－２２","","診療所　個人"
"2810603643","特定健診・指導","神戸医療生活協同組合神戸協同病院","653-0041","078-641-6211","兵庫県神戸市長田区久保町２－４－７","http://kobekyodo-hp.jp/","病院　その他の法人"
"2810603775","特定健診","神戸医療生活協同組合番町診療所","653-0011","078-577-1281","兵庫県神戸市長田区三番町２－６－３","","診療所　その他の法人"
"2810604328","特定健診","谷口外科整形外科","653-0811","078-642-2183","兵庫県神戸市長田区大塚町７－１－５","","診療所　個人"
"2810604625","特定健診・指導","適寿リハビリテーション病院","653-0876","078-612-5533","兵庫県神戸市長田区花山町２－１１－３２","http://www.tekiju.com","病院　医療法人"
"2810604658","特定健診・指導","濱田医院","653-0037","078-731-7151","兵庫県神戸市長田区大橋町１０－１－２７　浜田ビル２Ｆ２０４","","診療所　個人"
"2810604708","特定健診","くじめ内科","653-0032","078-682-0123","兵庫県神戸市長田区苅藻通３－５－７","","診療所　個人"
"2810604740","特定健診・指導","小高内科医院","653-0844","078-612-4644","兵庫県神戸市長田区西代通１－１－５","","診療所　個人"
"2810604856","特定健診","細野クリニック","653-0812","078-691-3090","兵庫県神戸市長田区長田町２－２－１　サンドール長田北館２Ｆ","","診療所　個人"
"2810605192","特定健診","志伊内科医院","653-0004","078-577-2340","兵庫県神戸市長田区四番町６－２－２　北野ビル５Ｆ","","診療所　個人"
"2810605200","特定健診","かなたに診療所","653-0875","078-641-1718","兵庫県神戸市長田区丸山町２－１－２","","診療所　個人"
"2810605242","特定健診・指導","神戸医療生活協同組合いたやどクリニック","653-0853","078-611-3681","兵庫県神戸市長田区庄山町１－９－１２","","診療所　その他の法人"
"2810605309","特定健診","たかとり診療所","653-0052","078-731-3583","兵庫県神戸市長田区海運町３－４－５","","診療所　医療法人"
"2810605341","特定健診","鈴木診療所","653-0022","078-682-2661","兵庫県神戸市長田区東尻池町３－１－２","","診療所　医療法人"
"2810605366","特定健診・指導","すみこ内科・循環器科","653-0055","078-737-1688","兵庫県神戸市長田区浪松町２－２－１９　藤原ビル１Ｆ","","診療所　個人"
"2810605408","特定健診・指導","朝日診療所","653-0834","078-643-3686","兵庫県神戸市長田区川西通２－３－１","","診療所　医療法人"
"2810605416","特定健診・指導","江原内科クリニック","653-0843","078-621-7575","兵庫県神戸市長田区御屋敷通３－１－３４","","診療所　医療法人"
"2810605531","特定健診","内科・呼吸器科長谷川医院","653-0811","078-691-0115","兵庫県神戸市長田区大塚町５－１－２１","http://www.hasegawaiin.jp","診療所　個人"
"2810605655","特定健診","前田内科診療所","653-0039","078-611-2121","兵庫県神戸市長田区日吉町２－１－２－１０５","","診療所　個人"
"2810605663","特定健診・指導","医療法人社団清春会あけぼのクリニック","653-0872","078-647-3288","兵庫県神戸市長田区大日丘町３－２－１","http://www.seishunkai.jp/","診療所　医療法人"
"2810605671","特定健診","福井クリニック","653-0836","078-612-0101","兵庫県神戸市長田区神楽町６－９－１０　小山ビル２Ｆ","http://fukui-med.com","診療所　個人"
"2810605747","特定健診・指導","王内科医院","653-0022","078-671-1659","兵庫県神戸市長田区東尻池町４－１１－１３","","診療所　個人"
"2810605788","特定健診","オギノ医院","653-0037","078-642-3923","兵庫県神戸市長田区大橋町４－４－９－２０５","","診療所　個人"
"2810605804","特定健診","にしざき内科消化器科","653-0004","078-531-0750","兵庫県神戸市長田区四番町７－２７　ワコーレ長田綜合ビル１階","","診療所　個人"
"2810605861","特定健診","木南医院","653-0037","078-621-7243","兵庫県神戸市長田区大橋町６－１－１－２０３","","診療所　医療法人"
"2810605879","特定健診","田中診療所","653-0036","078-612-5068","兵庫県神戸市長田区腕塚町８－４－１３","http://www.tanaka-sin.com/","診療所　個人"
"2810605895","特定健診","高木内科","653-0043","078-611-4044","兵庫県神戸市長田区駒ケ林町１－１６－１３","","診療所　医療法人"
"2810605994","特定健診・指導","医療法人社団永田診療所","653-0043","078-611-4811","兵庫県神戸市長田区駒ケ林町５－１０－１７","http://www.kobe-med.or.jp/nagata-clinic","診療所　医療法人"
"2810606034","特定健診","松浦クリニック","653-0038","078-646-8405","兵庫県神戸市長田区若松町３－１－２　アスタピア新長田１０１－１","","診療所　医療法人"
"2810606083","特定健診・指導","おかばやし内科医院","653-0015","078-579-8275","兵庫県神戸市長田区菅原通４－２０２－３　キクヤ第２ビル２Ｆ","","診療所　個人"
"2810606125","特定健診","医療法人社団川田外科胃腸科","653-0024","078-672-6330","兵庫県神戸市長田区浜添通２－１－７","http://","診療所　医療法人"
"2810606273","特定健診","医療法人社団井上医院","653-0883","078-691-0575","兵庫県神戸市長田区名倉町１ー１ー３２","http://","診療所　医療法人"
"2810606281","特定健診・指導","小松クリニック","653-0855","078-621-2992","兵庫県神戸市長田区長尾町２ー３－５","http://","診療所　個人"
"2810606307","特定健診","あんどう内科","653-0842","078-611-7582","兵庫県神戸市長田区水笠通４ー４ー１９","http://nttbj.itp.ne.jp/0786117582/index.html","診療所　個人"
"2810606315","特定健診","医療法人社団十善会野瀬病院","653-0042","078-641-2424","兵庫県神戸市長田区二葉町５ー１ー３６","http://","病院　医療法人"
"2810606323","特定健診・指導","医療法人社団聖光会　松井内科医院","653-0836","078-691-6430","兵庫県神戸市長田区神楽町５－３－２０－１０１","http://matsui-c.jp","診療所　医療法人"
"2810606349","特定健診・指導","山本医院","653-0806","078-621-3700","兵庫県神戸市長田区大丸町３ー１２ー２５","http://","診療所　個人"
"2810606380","特定健診・指導","医療法人社団丸山病院","653-0875","078-642-1031","兵庫県神戸市長田区丸山町３－４－２２","http://hwbb.gyao.ne.jp/maruyama-hospital-ct8/","病院　医療法人"
"2810606463","特定健診・指導","岩本医院","653-0831","078-691-3451","兵庫県神戸市長田区蓮宮通３－５","http://","診療所　個人"
"2810606471","特定健診・指導","神戸朝日病院","653-0801","078-612-5151","兵庫県神戸市長田区房王寺町３－５－２５","http://","病院　医療法人"
"2810606547","特定健診・指導","医療法人社団　関医院","653-0801","078-611-3330","兵庫県神戸市長田区房王寺町７－１２－９","http://","診療所　医療法人"
"2810606554","特定健診","国富医院","653-0041","078-691-1333","兵庫県神戸市長田区久保町６－１－１　アスタくにづか４番館東棟１１４","http://","診療所　個人"
"2810606570","特定健診・指導","十色の木クリニック","653-0813","078-647-7927","兵庫県神戸市長田区宮川町１－２６－５","http://","診療所　個人"
"2810606638","特定健診・指導","清水メディカルクリニック新長田","653-0836","078-754-9250","兵庫県神戸市長田区神楽町６－４－１－１０２号","http://","診療所　医療法人"
"2810606646","特定健診","藤山クリニック","653-0811","078-691-7060","兵庫県神戸市長田区大塚町３－１－１６","http://","診療所　個人"
"2810606653","特定健診","中川内科呼吸器科","653-0811","078-691-0115","兵庫県神戸市長田区大塚町５－１－２１","http://","診療所　個人"
"2810606695","特定健診","てい消化器・肝臓内科クリニック","653-0039","078-621-6556","兵庫県神戸市長田区日吉町３－１－２８","http://","診療所　個人"
"2810700860","特定健診","医療法人一高会野村海浜病院","654-0055","078-731-6471","兵庫県神戸市須磨区須磨浦通２－１－４１","","病院　医療法人"
"2810701603","特定健診・指導","南木医院","654-0003","078-732-2872","兵庫県神戸市須磨区神撫町１－３－１","","診療所　個人"
"2810701686","特定健診・指導","東田医院","654-0075","078-734-6616","兵庫県神戸市須磨区潮見台町５－３－５－２１６","","診療所　個人"
"2810702304","特定健診","石原内科医院","654-0151","078-791-0525","兵庫県神戸市須磨区北落合４－２４－２１","http://","診療所　個人"
"2810702668","特定健診・指導","医療法人社団柊風会阿部内科医院","654-0162","078-794-1234","兵庫県神戸市須磨区神の谷７－１－３","abe-naika-iin.com/","診療所　医療法人"
"2810702676","特定健診・指導","長谷川医院","654-0051","078-731-1801","兵庫県神戸市須磨区月見山本町１－５－３４","http://www.niph.go.jp","診療所　医療法人"
"2810702692","特定健診・指導","水守外科","654-0162","078-791-1130","兵庫県神戸市須磨区神の谷７－１－１","","診療所　医療法人"
"2810702726","特定健診・指導","医療法人社団林産婦人科","654-0052","078-731-0730","兵庫県神戸市須磨区行幸町４－２－７","http://","診療所　医療法人"
"2810702734","特定健診・指導","三上医院","654-0011","078-732-0839","兵庫県神戸市須磨区前池町１－１－１０","http://tateishi-mikamiclinic.com/","診療所　医療法人"
"2810702783","特定健診","医療法人社団童心会坪井クリニック","654-0153","078-793-2345","兵庫県神戸市須磨区南落合３－８－１０","http://","診療所　医療法人"
"2810702809","特定健診・指導","医療法人社団谷岡医院","654-0143","078-792-2005","兵庫県神戸市須磨区菅の台６－２２－１０","http://www.kit.hi-ho.ne.jp/Tanioka/","診療所　医療法人"
"2810702858","特定健診","医療法人社団加地医院","654-0152","078-791-2921","兵庫県神戸市須磨区東落合２－１０－２２","","診療所　医療法人"
"2810702973","特定健診・指導","医療法人社団前田医院","654-0142","078-792-3888","兵庫県神戸市須磨区友が丘８－２０１","","診療所　医療法人"
"2810702981","特定健診","中西医院","654-0012","078-732-3802","兵庫県神戸市須磨区飛松町２－５－１６","","診療所　個人"
"2810703054","特定健診","くすい内科医院","654-0013","078-731-3031","兵庫県神戸市須磨区大手町３－１－１２","","診療所　個人"
"2810703088","特定健診","医療法人社団あらき医院","654-0131","078-741-3138","兵庫県神戸市須磨区横尾２－１１－９","http://www.araki-iin.jp","診療所　医療法人"
"2810703161","特定健診・指導","岡医院","654-0023","078-732-0017","兵庫県神戸市須磨区戎町３－１－２３　シーホースビル２Ｆ","","診療所　個人"
"2810703203","特定健診","医療法人社団菫会北須磨病院","654-0102","078-743-6666","兵庫県神戸市須磨区東白川台１－１－１","http://www.sumire.or.jp","病院　医療法人"
"2810703260","特定健診・指導","医療法人渡辺クリニック","654-0064","078-733-0600","兵庫県神戸市須磨区北町１－２－６","","診療所　医療法人"
"2810703286","特定健診","医療法人社団高田クリニック","654-0022","078-733-3121","兵庫県神戸市須磨区大黒町３－３－１７","","診療所　医療法人"
"2810703377","特定健診","医療法人社団大路外科医院","654-0151","078-795-6780","兵庫県神戸市須磨区北落合１－１－４","","診療所　医療法人"
"2810703393","特定健診","村上眼科医院","654-0051","078-731-0056","兵庫県神戸市須磨区月見山本町１－５－２６","","診療所　個人"
"2810703401","特定健診・指導","岡田医院","654-0012","078-731-1416","兵庫県神戸市須磨区飛松町３－４－７","http://","診療所　個人"
"2810703435","特定健診","くしろ内科循環器科","654-0121","078-747-2552","兵庫県神戸市須磨区妙法寺字竹向イ６９３－７　エテルド田中１Ｆ","","診療所　個人"
"2810703468","特定健診","寺下診療所","654-0103","078-792-6767","兵庫県神戸市須磨区白川台６－１７－６","","診療所　個人"
"2810703476","特定健診・指導","医療法人社団大森医院","654-0021","078-732-1375","兵庫県神戸市須磨区平田町２－２－１１","","診療所　医療法人"
"2810703492","特定健診","松本クリニック","654-0151","078-797-7111","兵庫県神戸市須磨区北落合２－１０－４","http://www.myclinic.ne.jp/matsumc/pc/","診療所　個人"
"2810703559","特定健診・指導","医療法人社団中野泌尿器科","654-0023","078-732-7222","兵庫県神戸市須磨区戎町３－１－２４","http://www.nakano-hinyoukika.com/","診療所　医療法人"
"2810703575","特定健診・指導","医療法人社団花畑クリニック","654-0151","078-795-5512","兵庫県神戸市須磨区北落合３－２８－２","http://www.hanabata-clinic.com","診療所　医療法人"
"2810703633","特定健診","宮本医院","654-0141","078-791-1331","兵庫県神戸市須磨区竜が台５－１１－１","","診療所　個人"
"2810703658","特定健診","医療法人社団村上内科","654-0131","078-747-1190","兵庫県神戸市須磨区横尾１－２８４－１","","診療所　医療法人"
"2810703674","特定健診","石原医院","654-0007","078-732-4120","兵庫県神戸市須磨区宝田町３－１－１","","診療所　個人"
"2810703690","特定健診","寺内外科胃腸科","654-0143","078-793-0770","兵庫県神戸市須磨区菅の台３－１３－４","http://","診療所　個人"
"2810703708","特定健診","ちかしげクリニック","654-0026","078-735-0882","兵庫県神戸市須磨区大池町５ー１４－７－１０１","http://chikashige-clinic.com/","診療所　個人"
"2810703724","特定健診","林山クリニック","654-0121","078-747-5335","兵庫県神戸市須磨区妙法寺字薮中１２４２","http://www.wataboushi.net/kibounoie/index.html","診療所　医療法人"
"2810703732","特定健診・指導","矢野外科胃腸科","654-0034","078-731-2234","兵庫県神戸市須磨区戸政町３－１－１７","","診療所　個人"
"2810703740","特定健診・指導","矢谷内科循環器科","654-0026","078-737-2272","兵庫県神戸市須磨区大池町５－１６－４　ヴィタ大池２０１","","診療所　個人"
"2810703831","特定健診","医療法人社団医晋会橋本医院","654-0081","078-734-1768","兵庫県神戸市須磨区高倉台５－１２－１７","http://www.hiph.go.jp/","診療所　医療法人"
"2810703849","特定健診・指導","おち内科クリニック","654-0153","078-793-4639","兵庫県神戸市須磨区南落合３－１－３３","http://www.ochiclinic.com/","診療所　個人"
"2810703930","特定健診・指導","辻本泌尿器科クリニック","654-0131","078-743-1673","兵庫県神戸市須磨区横尾１－２８４－１　横尾ビル３階","http://www.urology-tc.jp","診療所　個人"
"2810703971","特定健診","医療法人社団ながお内科クリニック","654-0143","078-792-1234","兵庫県神戸市須磨区菅の台３－１３－３","http://www.eonet.ne.jp/~nagaonaikaclinic/","診療所　医療法人"
"2810704045","特定健診","中川内科クリニック","654-0054","078-731-0185","兵庫県神戸市須磨区須磨本町１－４－１０","http://","診療所　個人"
"2810704086","特定健診・指導","医療法人社団慈恵会新須磨クリニック","654-0046","078-735-1513","兵庫県神戸市須磨区村雨町５－１－４","http://www.jikeikai-group.or.jp/shinsumaclinic/","診療所　医療法人"
"2810704136","特定健診・指導","三輪医院","654-0033","078-731-1457","兵庫県神戸市須磨区東町２－２－４","http://","診療所　個人"
"2810704151","特定健診・指導","清水内科クリニック","654-0045","078-739-6120","兵庫県神戸市須磨区松風町５－２－３３","http://","診療所　個人"
"2810704185","特定健診","医療法人社団酒井内科","654-0055","078-732-3100","兵庫県神戸市須磨区須磨浦通５－６－２８","http://","診療所　医療法人"
"2810704227","特定健診・指導","木村内科医院","654-0103","078-792-3497","兵庫県神戸市須磨区白川台３－６２－１　ニューライフ白川台西棟１階","http://kimura-med.jp","診療所　個人"
"2810704243","特定健診・指導","医療法人社団ヒロメディカル小野クリニック","654-0071","078-739-2552","兵庫県神戸市須磨区須磨寺町２－７－５","http://www.ono-clinic.com","診療所　医療法人"
"2810704292","特定健診","まえ川内科クリニック","654-0055","078-735-8333","兵庫県神戸市須磨区須磨浦通４－６－２１　須磨浦ＳＫＹハイツ１階","http://","診療所　個人"
"2810704300","特定健診・指導","岸内科医院","654-0151","078-793-1717","兵庫県神戸市須磨区北落合１－４－３６","http://","診療所　個人"
"2810704359","特定健診・指導","医療法人和高医院","654-0071","078-739-7577","兵庫県神戸市須磨区須磨寺町１－１３－１　２Ｆ","http://","診療所　医療法人"
"2810704383","特定健診・指導","須磨浦病院","654-0076","078-733-6000","兵庫県神戸市須磨区一ノ谷町３ー３ー８","http://","病院　医療法人"
"2810704417","特定健診","戸根内科・神経内科医院","654-0131","078-743-7300","兵庫県神戸市須磨区横尾１ー９ー１","http://","診療所　個人"
"2810704466","特定健診","おおはらクリニック","654-0121","078-741-5180","兵庫県神戸市須磨区妙法寺字菅之池６８４ー１","http://sumasinryojo.sakura.ne.jp/","診療所　個人"
"2810704508","特定健診","医療法人社団しらかわクリニック","654-0121","078-742-1370","兵庫県神戸市須磨区妙法寺ぬめり石３４３－２","http://","診療所　医療法人"
"2810704516","特定健診・指導","かわと内科・循環器内科クリニック","654-0154","078-797-7511","兵庫県神戸市須磨区中落合３－１－１０　ＬＵＣＣＡ名谷２階","http://","診療所　個人"
"2810704524","特定健診・指導","医療法人社団ふじわら内科クリニック","654-0036","078-731-9618","兵庫県神戸市須磨区南町２－５－２９","http://","診療所　医療法人"
"2810704540","特定健診","おかだクリニック","654-0103","078-793-8639","兵庫県神戸市須磨区白川台３－６１－２","http://","診療所　医療法人"
"2810704565","特定健診・指導","丸山内科クリニック","654-0121","078-741-2052","兵庫県神戸市須磨区妙法寺字界地８２－２","http://","診療所　個人"
"2810704631","特定健診・指導","はたにクリニック","654-0081","078-739-7007","兵庫県神戸市須磨区高倉台１ー１－７－１０３","","診療所　個人"
"2810704649","特定健診","まつあきこころのクリニック","654-0026","078-731-5561","兵庫県神戸市須磨区大池町５－１６－８　幸学・ビル　３Ｆ","http://","診療所　個人"
"2810704664","特定健診・指導","凌駕クリニック樋上本院","654-0033","078-734-5550","兵庫県神戸市須磨区東町２－２－１３","","診療所　社会福祉法人"
"2810704680","特定健診・指導","佐々木医院","654-0102","078-743-5050","兵庫県神戸市須磨区東白川台３－１５－１１","","診療所　個人"
"2810704706","特定健診","神港園妙法寺クリニック","654-0121","078-742-9708","兵庫県神戸市須磨区妙法寺ぬめり石１－４","http://","診療所　社会福祉法人"
"2810704730","特定健診","北須磨ファミリークリニック","654-0133","078-743-1111","兵庫県神戸市須磨区多井畑地獄谷１２－２　ＣＮＣビル１０１号室","http://","診療所　医療法人"
"2810704763","特定健診・指導","尾原病院","654-0121","078-743-1135","兵庫県神戸市須磨区妙法寺字荒打３０８－１","http://","病院　その他の法人"
"2810800934","特定健診・指導","医療法人浩生会舞子台病院","655-0046","078-782-0055","兵庫県神戸市垂水区舞子台７－２－１","http://www32.ocn.ne.jp/~maikodai/","病院　医療法人"
"2810802104","特定健診・指導","医療法人薫風会佐野病院","655-0031","078-785-1000","兵庫県神戸市垂水区清水が丘２－５－１","http://www.sano-hospital.or.jp","病院　医療法人"
"2810802567","特定健診・指導","秋山医院","655-0046","078-784-0606","兵庫県神戸市垂水区舞子台２－９－３０－１０２","","診療所　個人"
"2810802757","特定健診","医療法人徳洲会　神戸徳洲会病院","655-0017","078-707-1110","兵庫県神戸市垂水区上高丸１－３－１０","http://www.kobetokushukai.org","病院　医療法人"
"2810802971","特定健診","医療法人社団仁友会山田医院","655-0872","078-751-0846","兵庫県神戸市垂水区塩屋町６－２１－１６","","診療所　医療法人"
"2810802989","特定健診・指導","医療法人社団善友会　山口医院","655-0044","078-781-2493","兵庫県神戸市垂水区舞子坂３－５－８","","診療所　医療法人"
"2810803052","特定健診・指導","田原内科医院","655-0004","078-783-6600","兵庫県神戸市垂水区学が丘４－１０－３４","","診療所　医療法人"
"2810803284","特定健診","医療法人社団　真部クリニック","655-0016","078-708-3113","兵庫県神戸市垂水区高丸８－１３－１１","","診療所　医療法人"
"2810803292","特定健診・指導","医療法人社団洪南クリニック","655-0863","078-751-2221","兵庫県神戸市垂水区塩屋北町３－６－１","","診療所　医療法人"
"2810803342","特定健診","医療法人社団岸原内科クリニック","655-0048","078-783-0200","兵庫県神戸市垂水区西舞子２－１０－２１","","診療所　医療法人"
"2810803391","特定健診・指導","谷山内科クリニック","655-0039","078-707-3334","兵庫県神戸市垂水区霞ケ丘７－１－５１","http://freett.com/taniyamanaika/","診療所　医療法人"
"2810803417","特定健診","浅井整形外科クリニック","655-0044","078-783-2505","兵庫県神戸市垂水区舞子坂３－１８－３２－１０１　サンシャイン舞子１Ｆ","http://asaiseikei.com","診療所　個人"
"2810803425","特定健診","医療法人社団まつもとクリニック","655-0031","078-784-1701","兵庫県神戸市垂水区清水が丘３－１－５","","診療所　医療法人"
"2810803466","特定健診","医療法人社団村中クリニック","655-0032","078-707-8011","兵庫県神戸市垂水区星が丘１－１－９８","http://www.tarumiku-ishikai.com/muranaka/","診療所　医療法人"
"2810803524","特定健診","森田医院","655-0048","078-782-7837","兵庫県神戸市垂水区西舞子５－１０－１０－１０１","","診療所　個人"
"2810803532","特定健診","なかむらクリニック","655-0854","078-752-1177","兵庫県神戸市垂水区桃山台２－９－５","","診療所　個人"
"2810803656","特定健診","高取産婦人科医院","655-0014","078-709-8815","兵庫県神戸市垂水区大町２－３－１０","","診療所　個人"
"2810803672","特定健診・指導","医療法人　緑和会　かず内科クリニック","655-0881","078-752-7776","兵庫県神戸市垂水区東垂水町菅の口６３４－１　辻本興産ビル２０３","https://kobenaika.com","診療所　医療法人"
"2810803763","特定健診","川岸内科医院","655-0026","078-707-2773","兵庫県神戸市垂水区陸ノ町１０－３０","","診療所　個人"
"2810803771","特定健診","医療法人社団北畠内科","655-0032","078-709-5101","兵庫県神戸市垂水区星ケ丘１－４－１９","","診療所　医療法人"
"2810803813","特定健診","まがき医院","655-0015","078-707-3002","兵庫県神戸市垂水区野田通７－９","","診療所　個人"
"2810803870","特定健診・指導","医療法人社団西舞子団地診療所","655-0043","078-781-0446","兵庫県神戸市垂水区南多聞台５－７－６","","診療所　医療法人"
"2810803888","特定健診・指導","医療法人社団藤原医院","655-0004","078-784-2200","兵庫県神戸市垂水区学が丘１－１９－２３","","診療所　医療法人"
"2810803961","特定健診・指導","医療法人社団竹内整形外科","655-0038","078-785-2500","兵庫県神戸市垂水区星陵台１－４－８","","診療所　医療法人"
"2810804019","特定健診","医療法人社団新国内科医院","655-0003","078-782-2520","兵庫県神戸市垂水区小束山本町２－１０－２６","http://www.niikuni.or.jp","診療所　医療法人"
"2810804043","特定健診・指導","高橋医院","655-0029","078-707-0101","兵庫県神戸市垂水区天ノ下町１－１－１７５","http://kenshin-db.niph.go.jp/kenshin/","診療所　医療法人"
"2810804050","特定健診・指導","医療法人社団長谷川整形外科","655-0046","078-785-7877","兵庫県神戸市垂水区舞子台６－１０－１３","http://www.geocities.jp/ryohase/","診療所　医療法人"
"2810804068","特定健診・指導","星島整形外科・リハビリテーション","655-0029","078-707-0001","兵庫県神戸市垂水区天ノ下町５－３","http://www.kobe-med.net","診療所　個人"
"2810804167","特定健診","医療法人社団藤原内科・循環器科","655-0046","078-782-2121","兵庫県神戸市垂水区舞子台８－７－５","","診療所　医療法人"
"2810804233","特定健診","井口小児科内科医院","655-0004","078-785-0023","兵庫県神戸市垂水区学が丘４－１５－８","","診療所　個人"
"2810804241","特定健診","神戸掖済会病院","655-0004","078-781-7811","兵庫県神戸市垂水区学が丘１－２１－１","http://www.kobe-ekisaikai.or.jp","病院　その他の法人"
"2810804258","特定健診・指導","医療法人社団池垣クリニック","655-0029","078-707-2828","兵庫県神戸市垂水区天ノ下町１１－７","http://www.reference.co.jp/maeda/","診療所　医療法人"
"2810804282","特定健診・指導","川崎医院","655-0027","078-706-7337","兵庫県神戸市垂水区神田町４－３２　第一カンタチオビル１Ｆ","","診療所　個人"
"2810804308","特定健診・指導","医療法人社団菫会名谷病院","655-0852","078-793-7788","兵庫県神戸市垂水区名谷町字梨原２３５０－２","http://www.myodani.com","病院　医療法人"
"2810804316","特定健診・指導","医療法人社団佐々木クリニック","655-0038","078-785-5265","兵庫県神戸市垂水区星陵台５－３－１","","診療所　医療法人"
"2810804415","特定健診・指導","星島眼科医院","655-0029","078-707-9000","兵庫県神戸市垂水区天ノ下町５－３","http://www.kobe-med.net/","診療所　個人"
"2810804464","特定健診・指導","水間医院","655-0027","078-707-3300","兵庫県神戸市垂水区神田町２－３４","http://www.eonet.ne.jp/~mizuma-iin","診療所　個人"
"2810804498","特定健診","内科すぎおクリニック","655-0894","078-753-4641","兵庫県神戸市垂水区川原３－１－１１","http://www.myclinic.ne.jp/sugioclinic/","診療所　個人"
"2810804506","特定健診","山﨑内科","655-0012","078-704-5100","兵庫県神戸市垂水区向陽１－１－２３","","診療所　医療法人"
"2810804571","特定健診・指導","医療法人社団緑風会山下診療所","655-0871","078-755-0601","兵庫県神戸市垂水区松風台１－１２－１７","http://buavd100@hi-net.zaq.ne.jp","診療所　医療法人"
"2810804597","特定健診・指導","近藤内科医院","655-0016","078-709-5807","兵庫県神戸市垂水区高丸７－７－２４","","診療所　医療法人"
"2810804688","特定健診","川田内科クリニック","655-0026","078-708-0070","兵庫県神戸市垂水区陸ノ町２－１１","","診療所　個人"
"2810804746","特定健診","医療法人社団黒田医院","655-0893","078-707-8022","兵庫県神戸市垂水区日向１－４－１－２１１　レバンテ垂水１番館２Ｆ","http://www.kurodaclinic.jp","診療所　医療法人"
"2810804753","特定健診","ドマーニ神戸クリニック","655-0006","078-787-2700","兵庫県神戸市垂水区本多聞３－１－３７","","診療所　個人"
"2810804795","特定健診","安藤クリニック","655-0872","078-751-3033","兵庫県神戸市垂水区塩屋町４－２－１０","","診療所　個人"
"2810804829","特定健診","医療法人社団王子会塩屋王子クリニック","655-0872","078-755-1535","兵庫県神戸市垂水区塩屋町４ー２５ー１１","http://","診療所　医療法人"
